"PropertyID","AskingRate","QuarterOff","BldgClass","ST","Quarters","ListAge","Floor","AvgSqft","Latitude","Longitude","LeaseTermTypeID","LeaseTermLow","LeaseTermHigh","SubmarketName","SpaceForLeaseID"
6134942,14,"2010Q2","2_ClassB","3_FullService",1,55,3,650,42.7087575,-71.1636148,1,2,2,"Lawrence/Andover",4669376
6134942,14,"2010Q2","2_ClassB","3_FullService",1,55,4,750,42.7087575,-71.1636148,1,2,2,"Lawrence/Andover",4669377
213175,9.95,"2010Q3","2_ClassB","3_FullService",11,12,4,1989,42.6272845,-71.158137,5,NA,NA,"Lawrence/Andover",2696542
1323826,10.59,"2010Q4","3_ClassC","1_Net",7,22,2,1700,42.7048298,-71.134247,1,1,5,"Lawrence/Andover",3851850
213058,16,"2006Q2","2_ClassB","2_Between",3,21,1,1500,42.66157,-71.107768,1,3,5,"Lawrence/Andover",1157738
213212,12.5,"2006Q4","2_ClassB","2_Between",6,19,1,2930,42.774266,-71.078333,1,3,3,"Lawrence/Andover",1146937
48851,15.5,"2007Q3","3_ClassC","2_Between",0,107,2,1080,42.6591129,-71.1073855,5,NA,NA,"Lawrence/Andover",2516794
213025,17.5,"2007Q3","3_ClassC","1_Net",2,35,1,676,42.673208,-71.12675,1,2,5,"Lawrence/Andover",2095577
213762,17.72,"2007Q4","3_ClassC","2_Between",1,107,1,1080,42.659034,-71.106436,5,NA,NA,"Lawrence/Andover",2516825
213025,17.5,"2008Q1","3_ClassC","3_FullService",0,36,1,625,42.673208,-71.12675,5,NA,NA,"Lawrence/Andover",2889067
213210,12,"2008Q1","3_ClassC","2_Between",0,19,2,1030,42.5953162,-71.0162864,1,3,3,"Lawrence/Andover",2855783
213779,12,"2008Q3","2_ClassB","2_Between",4,27,2,2400,42.642166,-71.083114,5,NA,NA,"Lawrence/Andover",2516774
213331,16,"2008Q4","2_ClassB","2_Between",1,12,2,1943,42.655714,-71.14604,1,3,5,"Lawrence/Andover",3423504
656727,8,"2008Q4","3_ClassC","2_Between",11,42,1,1200,42.707456,-71.1617,1,3,5,"Lawrence/Andover",1482380
213331,14,"2009Q1","2_ClassB","2_Between",2,12,1,1291,42.655714,-71.14604,1,3,5,"Lawrence/Andover",3423525
622747,27.69,"2009Q2","3_ClassC","2_Between",2,21,1,1300,42.729825,-71.2068798,1,3,5,"Lawrence/Andover",3581530
213210,15,"2009Q3","3_ClassC","2_Between",6,19,1,2075,42.5953162,-71.0162864,5,NA,NA,"Lawrence/Andover",3069554
213316,17,"2009Q3","2_ClassB","2_Between",5,86,1,3200,42.67307,-71.148469,5,NA,NA,"Lawrence/Andover",3176949
213779,12.86,"2009Q3","2_ClassB","2_Between",3,28,3,700,42.642166,-71.083114,5,NA,NA,"Lawrence/Andover",3720278
213215,13.5,"2009Q4","2_ClassB","3_FullService",9,13,3,2595,42.708393,-71.1504384,5,NA,NA,"Lawrence/Andover",2604406
214073,12,"2010Q2","3_ClassC","3_FullService",1,25,2,1100,42.708248,-71.158312,1,1,5,"Lawrence/Andover",4951144
638649,14,"2010Q2","2_ClassB","1_Net",7,6,1,1169,42.6448038,-71.153436,1,1,1,"Lawrence/Andover",3486148
122254,10.91,"2010Q3","3_ClassC","2_Between",2,27,2,1650,42.6578155,-71.1065166,5,NA,NA,"Lawrence/Andover",5026913
213316,14.95,"2011Q1","2_ClassB","1_Net",2,88,1,1500,42.67307,-71.148469,1,3,5,"Lawrence/Andover",5520088
5957898,8,"2011Q2","3_ClassC","2_Between",6,89,1,750,42.7039413,-71.1320067,5,NA,NA,"Lawrence/Andover",4585836
213039,20,"2005Q3","1_ClassA","2_Between",9,19,2,900,42.69097,-71.2102292,NA,NA,NA,"Lawrence/Andover",521943
213039,20,"2006Q1","1_ClassA","2_Between",7,20,2,2000,42.69097,-71.2102292,1,3,5,"Lawrence/Andover",753692
9028,16.55,"2006Q2","3_ClassC","2_Between",1,25,1,1270,42.664567,-71.113509,5,NA,NA,"Lawrence/Andover",1382661
213054,16.5,"2006Q2","2_ClassB","3_FullService",12,16,1,10550,42.691945,-71.1914759,1,5,5,"Lawrence/Andover",540785
212987,12.6,"2006Q3","2_ClassB","1_Net",7,18,2,1400,42.7064628,-71.2125167,1,5,5,"Lawrence/Andover",862578
213303,21.43,"2006Q3","3_ClassC","3_FullService",1,21,2,560,42.655613,-71.139257,1,3,5,"Lawrence/Andover",1684206
213765,18.95,"2006Q3","2_ClassB","2_Between",1,40,2,1300,42.697778,-71.127178,5,NA,NA,"Lawrence/Andover",1585727
212987,12.6,"2007Q1","2_ClassB","1_Net",2,20,2,500,42.7064628,-71.2125167,1,3,5,"Lawrence/Andover",1768958
213003,21.5,"2007Q3","2_ClassB","3_FullService",5,21,1,28000,42.6887827,-71.2115351,1,5,7,"Lawrence/Andover",1585739
122270,19.58,"2008Q1","3_ClassC","2_Between",1,20,1,1100,42.6578414,-71.1057509,5,NA,NA,"Lawrence/Andover",2785482
213210,12.34,"2008Q1","3_ClassC","2_Between",4,18,2,730,42.5953162,-71.0162864,1,3,3,"Lawrence/Andover",2080964
213029,16.5,"2008Q3","2_ClassB","3_FullService",4,21,2,7044,42.660751,-71.107261,5,NA,NA,"Lawrence/Andover",2576107
212987,9.5,"2008Q4","2_ClassB","1_Net",6,21,2,1815,42.7064628,-71.2125167,1,3,5,"Lawrence/Andover",2364516
5966131,16.98,"2008Q4","3_ClassC","2_Between",3,42,2,1025,42.6575177,-71.1406514,5,NA,NA,"Lawrence/Andover",3047408
664052,15.27,"2009Q1","3_ClassC","2_Between",1,23,1,1100,42.6576894,-71.1062656,5,NA,NA,"Lawrence/Andover",3609811
212982,19.5,"2009Q3","2_ClassB","2_Between",6,27,3,776,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",2902947
213003,20.5,"2009Q3","2_ClassB","3_FullService",13,21,2,20000,42.6887827,-71.2115351,1,5,7,"Lawrence/Andover",1585740
213003,20.5,"2009Q3","2_ClassB","3_FullService",13,21,1,29000,42.6887827,-71.2115351,1,5,7,"Lawrence/Andover",2646809
213212,14.5,"2009Q3","2_ClassB","2_Between",5,22,1,1015,42.774266,-71.078333,1,3,5,"Lawrence/Andover",3227859
213322,25,"2009Q4","2_ClassB","1_Net",3,3,1,2067,42.6569989,-71.1404181,5,NA,NA,"Lawrence/Andover",3871855
59193,16,"2010Q1","2_ClassB","3_FullService",9,23,2,2700,42.675062,-71.125979,1,3,3,"Lawrence/Andover",2793814
214073,16.36,"2010Q1","3_ClassC","3_FullService",0,25,2,1100,42.708248,-71.158312,1,1,5,"Lawrence/Andover",4672150
1136079,10,"2010Q1","3_ClassC","1_Net",8,98,1,2500,42.774365,-71.078899,1,3,3,"Lawrence/Andover",3023418
213047,10.5,"2010Q2","2_ClassB","1_Net",1,24,2,2288,42.7054493,-71.2146301,5,NA,NA,"Lawrence/Andover",5005590
213322,15,"2010Q2","2_ClassB","1_Net",5,3,2,4559,42.6569989,-71.1404181,5,NA,NA,"Lawrence/Andover",3871933
214063,13.25,"2010Q2","2_ClassB","3_FullService",2,11,2,1881,42.6912986,-71.2297607,1,3,5,"Lawrence/Andover",4483302
348177,18.5,"2010Q2","1_ClassA","3_FullService",9,7,3,4028,42.6871577,-71.2121579,5,NA,NA,"Lawrence/Andover",2863143
212987,9.5,"2010Q3","2_ClassB","1_Net",10,22,2,3500,42.7064628,-71.2125167,5,NA,NA,"Lawrence/Andover",3049075
213316,14.95,"2010Q3","2_ClassB","1_Net",9,86,2,1500,42.67307,-71.148469,5,NA,NA,"Lawrence/Andover",4578329
122254,17.45,"2010Q4","3_ClassC","2_Between",1,27,1,1100,42.6578155,-71.1065166,1,1,1,"Lawrence/Andover",5410025
213047,10.5,"2010Q4","2_ClassB","1_Net",3,24,2,1151,42.7054493,-71.2146301,5,NA,NA,"Lawrence/Andover",5005629
122270,14.13,"2011Q1","3_ClassC","2_Between",0,24,1,1100,42.6578414,-71.1057509,1,1,3,"Lawrence/Andover",5864130
213212,14.5,"2011Q1","2_ClassB","3_FullService",8,23,2,828,42.774266,-71.078333,1,3,5,"Lawrence/Andover",3782439
213760,15,"2011Q1","2_ClassB","1_Net",13,1,1,2008,42.6669317,-71.1165802,1,3,3,"Lawrence/Andover",2793808
622747,12,"2011Q1","3_ClassC","2_Between",1,23,1,2500,42.729825,-71.2068798,1,1,1,"Lawrence/Andover",5590231
7115489,7.5,"2011Q1","2_ClassB","3_FullService",7,7,1,6000,42.6215094,-71.0526232,5,NA,NA,"Lawrence/Andover",4182687
7115489,12.75,"2011Q1","2_ClassB","3_FullService",7,7,2,2000,42.6215094,-71.0526232,5,NA,NA,"Lawrence/Andover",4182154
213210,10.86,"2011Q2","3_ClassC","2_Between",4,21,2,1050,42.5953162,-71.0162864,1,3,5,"Lawrence/Andover",5140796
577128,12,"2011Q2","3_ClassC","1_Net",1,22,2,500,42.690432,-71.14997,1,1,3,"Lawrence/Andover",5785728
213047,10.5,"2011Q3","2_ClassB","1_Net",6,24,1,1487,42.7054493,-71.2146301,5,NA,NA,"Lawrence/Andover",5005579
213058,15,"2011Q3","2_ClassB","3_FullService",1,27,1,2092,42.66157,-71.107768,5,NA,NA,"Lawrence/Andover",6091519
214063,13.25,"2011Q3","2_ClassB","3_FullService",7,11,2,3719,42.6912986,-71.2297607,1,3,5,"Lawrence/Andover",4483303
214063,13.25,"2011Q3","2_ClassB","3_FullService",7,11,2,4617,42.6912986,-71.2297607,1,3,5,"Lawrence/Andover",4483307
622747,11.25,"2011Q3","3_ClassC","2_Between",3,23,2,480,42.729825,-71.2068798,1,1,3,"Lawrence/Andover",5673072
213111,12.6,"2005Q2","2_ClassB","1_Net",10,17,2,5535,42.7073099,-71.2131329,NA,NA,NA,"Lawrence/Andover",427620
655662,20,"2005Q2","2_ClassB","1_Net",1,5,1,2100,42.6571731,-71.1382064,5,NA,NA,"Lawrence/Andover",920815
686269,7.5,"2005Q2","2_ClassB","3_FullService",2,9,1,2067,42.773724,-71.085222,1,3,5,"Lawrence/Andover",866279
213029,16.5,"2005Q3","2_ClassB","2_Between",4,18,2,2304,42.660751,-71.107261,NA,NA,NA,"Lawrence/Andover",773595
212987,12.6,"2005Q4","2_ClassB","1_Net",5,18,2,2710,42.7064628,-71.2125167,1,3,5,"Lawrence/Andover",777935
213058,16,"2005Q4","2_ClassB","1_Net",0,21,1,1711,42.66157,-71.107768,1,5,5,"Lawrence/Andover",1343693
664052,18.49,"2005Q4","3_ClassC","2_Between",2,20,1,1100,42.6576894,-71.1062656,NA,NA,NA,"Lawrence/Andover",934340
213029,16.5,"2006Q1","2_ClassB","2_Between",4,19,2,4100,42.660751,-71.107261,NA,NA,NA,"Lawrence/Andover",872622
213029,16.5,"2006Q1","2_ClassB","2_Between",13,16,2,1882,42.660751,-71.107261,NA,NA,NA,"Lawrence/Andover",411139
213058,16,"2006Q1","2_ClassB","2_Between",13,18,2,4220,42.66157,-71.107768,1,3,5,"Lawrence/Andover",411125
213779,10,"2006Q1","2_ClassB","2_Between",7,24,1,1575,42.642166,-71.083114,NA,NA,NA,"Lawrence/Andover",725337
213760,15.95,"2006Q2","2_ClassB","1_Net",7,44,1,2250,42.6669317,-71.1165802,5,NA,NA,"Lawrence/Andover",798067
213997,11,"2006Q2","2_ClassB","1_Net",5,20,1,1290,42.7042943,-71.141542,5,NA,NA,"Lawrence/Andover",928183
348177,13,"2006Q2","1_ClassA","1_Net",0,5,3,11644,42.6871577,-71.2121579,5,NA,NA,"Lawrence/Andover",1587835
1300236,13.85,"2006Q2","3_ClassC","2_Between",2,1,2,2000,42.731946,-71.136798,1,2,2,"Lawrence/Andover",1358941
1300236,13.85,"2006Q2","3_ClassC","2_Between",2,1,1,2000,42.731946,-71.136798,1,2,2,"Lawrence/Andover",1358940
212982,19.5,"2006Q3","2_ClassB","2_Between",1,25,1,2319,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",1596922
213760,16,"2006Q3","2_ClassB","1_Net",8,44,2,3016,42.6669317,-71.1165802,5,NA,NA,"Lawrence/Andover",798070
48849,18.89,"2006Q4","2_ClassB","3_FullService",1,106,1,1080,42.658564,-71.107205,5,NA,NA,"Lawrence/Andover",1786527
212982,19.5,"2006Q4","2_ClassB","2_Between",7,24,3,4995,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",1358004
686269,12,"2006Q4","2_ClassB","3_FullService",2,11,4,1400,42.773724,-71.085222,5,NA,NA,"Lawrence/Andover",1625752
212987,7,"2007Q1","2_ClassB","1_Net",10,18,1,4170,42.7064628,-71.2125167,1,5,5,"Lawrence/Andover",794102
213058,17.5,"2007Q1","2_ClassB","2_Between",8,21,1,2400,42.66157,-71.107768,5,NA,NA,"Lawrence/Andover",872343
213212,12.5,"2007Q1","2_ClassB","2_Between",1,20,2,720,42.774266,-71.078333,1,3,5,"Lawrence/Andover",1949424
213325,14,"2007Q1","2_ClassB","2_Between",2,5,2,2169,42.6554066,-71.1461247,5,NA,NA,"Lawrence/Andover",1825608
1301008,12,"2007Q1","3_ClassC","3_FullService",3,67,1,800,42.707481,-71.15938,1,2,5,"Lawrence/Andover",1673201
212982,19.5,"2007Q2","2_ClassB","2_Between",6,24,2,7713,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",1358001
212987,7,"2007Q2","2_ClassB","1_Net",11,18,1,2500,42.7064628,-71.2125167,1,3,5,"Lawrence/Andover",2250127
1331049,10.2,"2007Q2","3_ClassC","3_FullService",5,106,1,750,42.778917,-71.077214,1,1,1,"Lawrence/Andover",1598800
1538633,12,"2007Q2","3_ClassC","1_Net",3,86,1,700,42.704159,-71.214087,5,NA,NA,"Lawrence/Andover",1756137
1538633,12,"2007Q2","3_ClassC","1_Net",3,86,2,500,42.704159,-71.214087,5,NA,NA,"Lawrence/Andover",1756143
213775,18,"2007Q3","2_ClassB","1_Net",2,29,4,1025,42.673724,-71.127391,5,NA,NA,"Lawrence/Andover",2024514
213025,17.5,"2007Q4","3_ClassC","3_FullService",3,35,1,625,42.673208,-71.12675,5,NA,NA,"Lawrence/Andover",2202383
5973213,10.58,"2007Q4","2_ClassB","1_Net",1,38,1,1360,42.7247314,-71.1598684,1,3,3,"Lawrence/Andover",2523722
634891,10.52,"2008Q1","2_ClassB","2_Between",1,14,5,570,42.7056859,-71.1529773,5,NA,NA,"Lawrence/Andover",2808119
122254,10.91,"2008Q2","3_ClassC","3_FullService",5,24,2,1650,42.6578155,-71.1065166,1,3,5,"Lawrence/Andover",2243349
122254,10.91,"2008Q2","3_ClassC","3_FullService",4,24,1,1650,42.6578155,-71.1065166,1,3,5,"Lawrence/Andover",2435125
213025,17.5,"2008Q2","3_ClassC","3_FullService",5,35,1,1926,42.673208,-71.12675,5,NA,NA,"Lawrence/Andover",2202378
6558554,10.45,"2008Q4","3_ClassC","3_FullService",1,27,1,2125,42.70524,-71.136375,1,3,3,"Lawrence/Andover",3438751
213779,13.18,"2009Q1","2_ClassB","2_Between",1,28,4,1275,42.642166,-71.083114,5,NA,NA,"Lawrence/Andover",3667831
348177,20.5,"2009Q1","1_ClassA","3_FullService",5,6,1,6347.5,42.6871577,-71.2121579,5,NA,NA,"Lawrence/Andover",2769282
1301008,12,"2009Q1","3_ClassC","3_FullService",11,67,2,1700,42.707481,-71.15938,1,2,5,"Lawrence/Andover",1673206
59193,16,"2009Q2","2_ClassB","1_Net",3,24,1,2700,42.675062,-71.125979,1,5,5,"Lawrence/Andover",4149106
212982,19.5,"2009Q3","2_ClassB","2_Between",2,28,3,6400,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",3759507
213777,17.4,"2009Q3","2_ClassB","2_Between",4,24,2,1655,42.664952,-71.11645,5,NA,NA,"Lawrence/Andover",3413445
686304,6.5,"2009Q3","3_ClassC","2_Between",2,24,2,660,42.786752,-71.135077,5,NA,NA,"Lawrence/Andover",3963973
1149036,10.18,"2009Q3","3_ClassC","1_Net",3,11,2,1650,42.6581717,-71.1065166,5,NA,NA,"Lawrence/Andover",3630788
6155835,24.75,"2009Q3","1_ClassA","3_FullService",7,1,3,1315,42.7652676,-71.0461995,1,3,5,"Lawrence/Andover",2691270
9070,8.95,"2009Q4","2_ClassB","1_Net",6,18,1,6000,42.6569187,-71.1085669,1,3,5,"Lawrence/Andover",3136554
212982,19.5,"2009Q4","2_ClassB","2_Between",14,25,1,2900,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",1818642
212982,19.5,"2009Q4","2_ClassB","2_Between",6,27,1,4494,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",3217077
213215,13.5,"2009Q4","2_ClassB","3_FullService",15,12,1,5100,42.708393,-71.1504384,5,NA,NA,"Lawrence/Andover",1387129
213227,27.6,"2009Q4","3_ClassC","3_FullService",4,44,1,1500,42.6546745,-71.1403961,5,NA,NA,"Lawrence/Andover",3594715
213316,14.95,"2009Q4","2_ClassB","2_Between",6,86,2,1000,42.67307,-71.148469,5,NA,NA,"Lawrence/Andover",3093601
213264,20,"2010Q1","3_ClassC","1_Net",0,13,1,1218,42.706468,-71.13374,1,1,5,"Lawrence/Andover",4680511
622747,22.43,"2010Q1","3_ClassC","2_Between",7,21,1,535,42.729825,-71.2068798,1,3,5,"Lawrence/Andover",3296356
59193,16,"2010Q2","2_ClassB","3_FullService",6,24,2,1200,42.675062,-71.125979,1,3,3,"Lawrence/Andover",3639518
213779,13,"2010Q2","2_ClassB","2_Between",3,29,2,650,42.642166,-71.083114,5,NA,NA,"Lawrence/Andover",4207042
638649,16,"2010Q2","2_ClassB","1_Net",7,6,1,2125,42.6448038,-71.153436,1,1,1,"Lawrence/Andover",3486172
655662,17,"2010Q2","2_ClassB","1_Net",13,7,1,2100,42.6571731,-71.1382064,5,NA,NA,"Lawrence/Andover",2209933
891912,6.95,"2010Q2","2_ClassB","3_FullService",8,6,3,2250,42.728257,-71.186947,1,1,5,"Lawrence/Andover",3171927
4121045,17.5,"2010Q2","3_ClassC","2_Between",1,40,1,1833,42.7760567,-71.0679911,5,NA,NA,"Lawrence/Andover",4711550
6293364,18,"2010Q2","3_ClassC","1_Net",9,2,1,1200,42.698729,-71.158962,5,NA,NA,"Lawrence/Andover",2879940
212982,19.5,"2010Q3","2_ClassB","2_Between",3,28,1,3380,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",4602078
212982,19.5,"2010Q3","2_ClassB","2_Between",6,28,3,3100,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",3759526
212982,19.5,"2010Q3","2_ClassB","2_Between",6,28,3,5600,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",3759523
213316,14.95,"2010Q3","2_ClassB","1_Net",4,87,3,2000,42.67307,-71.148469,1,3,5,"Lawrence/Andover",4277607
213316,14.95,"2010Q3","2_ClassB","1_Net",4,87,1,2500,42.67307,-71.148469,1,3,5,"Lawrence/Andover",4277598
638649,14,"2010Q3","2_ClassB","1_Net",1,8,1,1320,42.6448038,-71.153436,1,1,1,"Lawrence/Andover",5112787
686269,16.5,"2010Q3","2_ClassB","3_FullService",2,15,1,400,42.773724,-71.085222,5,NA,NA,"Lawrence/Andover",5030484
213212,12.5,"2010Q4","2_ClassB","2_Between",5,23,1,1610,42.774266,-71.078333,1,3,5,"Lawrence/Andover",4349863
213212,12.5,"2010Q4","2_ClassB","2_Between",5,23,1,1668,42.774266,-71.078333,1,3,5,"Lawrence/Andover",4349864
213777,18,"2010Q4","2_ClassB","2_Between",7,25,2,1411,42.664952,-71.11645,5,NA,NA,"Lawrence/Andover",3893893
575799,12.92,"2010Q4","3_ClassC","3_FullService",13,107,3,1300,42.7079818,-71.1593718,1,1,5,"Lawrence/Andover",2656325
656727,11,"2010Q4","3_ClassC","2_Between",3,46,1,3000,42.707456,-71.1617,1,5,5,"Lawrence/Andover",4676717
1323826,12.92,"2010Q4","3_ClassC","1_Net",14,20,2,1300,42.7048298,-71.134247,1,1,5,"Lawrence/Andover",2302464
213996,20.67,"2011Q1","3_ClassC","1_Net",2,28,2,1800,42.6624533,-71.1452313,5,NA,NA,"Lawrence/Andover",5314665
348177,19,"2011Q1","1_ClassA","2_Between",3,9,3,2741,42.6871577,-71.2121579,5,NA,NA,"Lawrence/Andover",5043166
686269,9,"2011Q1","2_ClassB","2_Between",5,14,1,1965,42.773724,-71.085222,5,NA,NA,"Lawrence/Andover",4629325
686269,10.5,"2011Q1","2_ClassB","3_FullService",2,15,4,1325,42.773724,-71.085222,5,NA,NA,"Lawrence/Andover",5401228
7852833,8.5,"2011Q1","3_ClassC","2_Between",1,29,1,800,42.7062115,-71.1326068,1,1,1,"Lawrence/Andover",5704184
213316,11,"2011Q2","2_ClassB","1_Net",3,88,1,2500,42.67307,-71.148469,1,3,5,"Lawrence/Andover",5441854
213316,11,"2011Q2","2_ClassB","1_Net",3,88,1,1500,42.67307,-71.148469,1,3,5,"Lawrence/Andover",6004611
213322,15,"2011Q2","2_ClassB","1_Net",4,4,3,3000,42.6569989,-71.1404181,5,NA,NA,"Lawrence/Andover",5168995
744664,9,"2011Q2","2_ClassB","1_Net",15,27,3,2350,42.70785,-71.160383,1,3,5,"Lawrence/Andover",2495944
765481,11,"2011Q2","2_ClassB","3_FullService",0,30,2,540,42.78273,-71.077597,1,1,5,"Lawrence/Andover",6123138
5663401,12.6,"2011Q2","2_ClassB","3_FullService",8,38,3,2190,42.706633,-71.165411,1,1,5,"Lawrence/Andover",4114241
5663401,12.61,"2011Q2","2_ClassB","3_FullService",8,38,3,1380,42.706633,-71.165411,1,1,5,"Lawrence/Andover",4114225
5663401,12,"2011Q2","2_ClassB","3_FullService",8,38,2,775,42.706633,-71.165411,1,1,5,"Lawrence/Andover",4114279
5663401,12.55,"2011Q2","2_ClassB","3_FullService",8,38,2,550,42.706633,-71.165411,1,1,5,"Lawrence/Andover",4114257
7390802,8,"2011Q2","3_ClassC","2_Between",5,42,1,1088,42.78173,-71.075889,1,3,5,"Lawrence/Andover",4706698
213316,10,"2011Q3","2_ClassB","1_Net",1,89,1,2000,42.67307,-71.148469,1,3,5,"Lawrence/Andover",6004640
1136079,13.09,"2011Q4","3_ClassC","3_FullService",1,101,1,1100,42.774365,-71.078899,1,1,3,"Lawrence/Andover",6251249
6155835,25.5,"2011Q4","1_ClassA","3_FullService",4,4,3,1794,42.7652676,-71.0461995,1,3,5,"Lawrence/Andover",5637700
213058,16.5,"2005Q2","2_ClassB","2_Between",6,19,1,646,42.66157,-71.107768,NA,NA,NA,"Lawrence/Andover",619582
213324,22,"2005Q2","2_ClassB","1_Net",5,20,2,500,42.661718,-71.1448724,NA,NA,NA,"Lawrence/Andover",659971
213324,22,"2005Q2","2_ClassB","1_Net",5,20,1,2000,42.661718,-71.1448724,NA,NA,NA,"Lawrence/Andover",659969
213685,15.95,"2005Q2","3_ClassC","2_Between",8,22,2,1227,42.512138,-71.0349439,1,3,5,"Lynnfield/Wakefield",507880
213685,15.95,"2005Q2","3_ClassC","2_Between",10,21,2,2511,42.512138,-71.0349439,1,3,5,"Lynnfield/Wakefield",411085
686269,7.5,"2005Q2","2_ClassB","3_FullService",2,9,4,1375,42.773724,-71.085222,1,3,5,"Lawrence/Andover",866284
891730,13.6,"2005Q2","2_ClassB","2_Between",1,105,1,750,42.5956119,-71.0154807,NA,NA,NA,"Lawrence/Andover",903007
891912,20,"2005Q2","2_ClassB","2_Between",1,3,1,927.5,42.728257,-71.186947,1,1,5,"Lawrence/Andover",903573
212987,12.6,"2005Q4","2_ClassB","1_Net",4,18,2,1200,42.7064628,-71.2125167,1,5,5,"Lawrence/Andover",828996
213604,10,"2005Q4","3_ClassC","1_Net",3,33,1,3138,42.7060455,-71.1669429,NA,NA,NA,"Lawrence/Andover",910251
1136079,14,"2005Q4","3_ClassC","1_Net",0,95,1,2500,42.774365,-71.078899,1,3,5,"Lawrence/Andover",1260449
213210,18,"2006Q1","3_ClassC","1_Net",1,16,1,1000,42.5953162,-71.0162864,5,NA,NA,"Lawrence/Andover",1273461
213779,10,"2006Q1","2_ClassB","2_Between",4,25,2,750,42.642166,-71.083114,NA,NA,NA,"Lawrence/Andover",912230
213985,21,"2006Q1","1_ClassA","2_Between",1,6,3,26923,42.5094839,-71.0344825,1,3,5,"Lynnfield/Wakefield",1346169
1150824,12,"2006Q1","3_ClassC","3_FullService",1,25,2,1400,42.511542,-71.03475,1,3,5,"Lynnfield/Wakefield",1310918
213058,16,"2006Q2","2_ClassB","2_Between",2,21,1,655,42.66157,-71.107768,1,3,5,"Lawrence/Andover",1325012
213303,21.7,"2006Q2","3_ClassC","3_FullService",0,21,2,774,42.655613,-71.139257,1,3,5,"Lawrence/Andover",1592924
212987,12.6,"2006Q3","2_ClassB","1_Net",8,18,2,1265,42.7064628,-71.2125167,1,5,5,"Lawrence/Andover",794103
213042,16,"2006Q3","2_ClassB","3_FullService",3,20,3,4000,42.5118926,-71.0339429,1,3,5,"Lynnfield/Wakefield",1342140
213779,12,"2006Q3","2_ClassB","2_Between",1,26,3,750,42.642166,-71.083114,5,NA,NA,"Lawrence/Andover",1581970
