GeographyID,CBSAID,GeographyCode,GeographyName,GeographyDescription,OfficeTier,WarehouseTier,RetailTier
81,26420,HOUS,Houston,Houston-Sugar Land-Baytown TX,1,1,1
82,26580,HUNT,Huntington,Huntington-Ashland WV-KY-OH,3,3,3
83,26620,HUSV,Huntsville,Huntsville AL,3,3,3
84,26900,INDI,Indianapolis,Indianapolis-Carmel IN,2,1,2
159,40140,INLA,Inland Empire,Riverside-San Bernardino-Ontario CA,1,1,1
85,27140,JASO,Jackson,Jackson MS,3,3,3
86,27260,JACK,Jacksonville,Jacksonville FL,2,2,2
87,27500,JANE,Janesville,Janesville WI,3,3,3
88,28020,KALA,Kalamazoo,Kalamazoo-Portage MI,3,3,3
89,28140,KANS,Kansas City,Kansas City MO-KS,2,2,2
90,28660,KILL,Killeen,Killeen-Temple-Fort Hood TX,3,3,3
91,28700,KING,Kingsport,Kingsport-Bristol-Bristol TN-VA,3,3,3
92,28940,KNOX,Knoxville,Knoxville TN,3,3,3
93,29180,LAFA,Lafayette,Lafayette LA,3,3,3
94,29460,LAKE,Lakeland,Lakeland-Winter Haven FL,3,3,3
95,29540,LANC,Lancaster,Lancaster PA,3,3,3
96,29620,LANS,Lansing,Lansing-East Lansing MI,3,3,3
97,29820,LASV,Las Vegas,Las Vegas-Paradise NV,2,2,1
98,29940,LAWR,Lawrence,Lawrence KS,3,3,3
99,30140,LEBA,Lebanon,Lebanon PA,3,3,3
4,10900,ALLE,Lehigh Valley,Allentown-Bethlehem-Easton PA-NJ,3,1,3
100,30460,LEXI,Lexington,Lexington-Fayette KY,3,3,3
101,30700,LINC,Lincoln,Lincoln NE,3,3,3
102,30780,LITT,Little Rock,Little Rock-North Little Rock-Conway AR,3,3,3
126,35004,LONG,Long Island,Nassau-Suffolk NY,1,2,2
103,31020,LOVW,Longview,Longview WA,3,3,3
104,31084,LOSA,Los Angeles,Los Angeles-Long Beach-Glendale CA,1,1,1
105,31140,LOUI,Louisville,Louisville-Jefferson County KY-IN,3,3,3
106,31180,LUBB,Lubbock,Lubbock TX,3,3,3
107,31460,MADE,Madera,Madera-Chowchilla CA,3,3,3
108,31540,MADI,Madison,Madison WI,3,3,3
109,31700,MCHN,Manchester,Manchester-Nashua NH,3,3,3
110,31900,MANS,Mansfield,Mansfield OH,3,3,3
111,32580,MCAL,McAllen,McAllen-Edinburg-Mission TX,3,3,3
141,37340,MELB,Melbourne,Palm Bay-Melbourne-Titusville FL,3,3,3
112,32820,MEMP,Memphis,Memphis TN-MS-AR,2,1,2
113,33124,MIAM,Miami,Miami-Miami Beach-Kendall FL,1,1,1
114,33340,MILW,Milwaukee,Milwaukee-Waukesha-West Allis WI,2,2,2
115,33460,MINN,Minneapolis,Minneapolis-St. Paul-Bloomington MN-WI,1,1,1
116,33660,MOBI,Mobile,Mobile AL,3,3,3
117,33700,MODE,Modesto,Modesto CA,3,3,3
118,33780,MONR,Monroe,Monroe MI,3,3,3
119,33860,MTGA,Montgomery,Montgomery AL,3,3,3
120,34620,MUNC,Muncie,Muncie IN,3,3,3
121,34740,MUSK,Muskegon,Muskegon-Norton Shores MI,3,3,3
122,34820,MYRT,Myrtle Beach,Myrtle Beach-North Myrtle Beach-Conway SC,3,3,3
123,34900,NAPA,Napa,Napa CA,3,3,3
124,34940,NAPL,Naples,Naples-Marco Island FL,3,3,3
125,34980,NASH,Nashville,Nashville-Davidson-Murfreesboro-Franklin TN,1,2,2
128,35300,NEWH,New Haven,New Haven-Milford CT,3,3,3
129,35380,NEWO,New Orleans,New Orleans-Metairie-Kenner LA,2,2,2
130,35644,NEWY,New York,New York-White Plains-Wayne NY-NJ,1,1,1
200,47260,NORF,Norfolk,Virginia Beach-Norfolk-Newport News VA-NC,2,2,2
127,35084,NORT,Northern New Jersey,Newark-Union NJ-PA,1,1,1
132,35980,NORW,Norwich,Norwich-New London CT,3,3,3
134,36100,OCAL,Ocala,Ocala FL,3,3,3
135,36260,OGDE,Ogden,Ogden-Clearfield UT,3,3,3
136,36420,OKLA,Oklahoma City,Oklahoma City OK,2,2,2
137,36500,OLYM,Olympia,Olympia WA,3,3,3
138,36540,OMAH,Omaha,Omaha-Council Bluffs NE-IA,3,3,3
174,42044,ORAN,Orange County,Santa Ana-Anaheim-Irvine CA,1,1,1
139,36740,ORLA,Orlando,Orlando-Kissimmee-Sanford FL,1,1,1
140,37100,OXNA,Oxnard,Oxnard-Thousand Oaks-Ventura CA,3,3,3
203,48424,PALM,Palm Beach County,West Palm Beach-Boca Raton-Boynton Beach FL,1,2,1
142,37860,PENS,Pensacola,Pensacola-Ferry Pass-Brent FL,3,3,3
143,37900,PEOR,Peoria,Peoria IL,3,3,3
144,37980,PHIL,Philadelphia,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,1,1,1
145,38060,PHOE,Phoenix,Phoenix-Mesa-Glendale AZ,1,1,1
146,38300,PITT,Pittsburgh,Pittsburgh PA,2,2,2
149,38940,POSL,Port St. Lucie,Port St. Lucie FL,3,3,3
147,38860,POBI,Portland,Portland-South Portland-Biddeford ME,3,3,3
148,38900,PORT,Portland OR,Portland-Vancouver-Hillsboro OR-WA,1,1,1
150,39100,POUG,Poughkeepsie,Poughkeepsie-Newburgh-Middletown NY,3,3,3
151,39300,PROV,Providence,Providence-New Bedford-Fall River RI-MA,3,3,3
152,39340,PRVO,Provo,Provo-Orem UT,3,3,3
153,39460,PUNT,Punta Gorda,Punta Gorda FL,3,3,3
154,39540,RACI,Racine,Racine WI,3,3,3
155,39580,RALE,Raleigh,Raleigh-Cary NC,1,2,1
156,39740,READ,Reading,Reading PA,3,3,3
157,39900,RENO,Reno,Reno-Sparks NV,3,1,3
158,40060,RICH,Richmond,Richmond VA,2,2,2
160,40220,ROAN,Roanoke,Roanoke VA,3,3,3
161,40380,ROCH,Rochester,Rochester NY,3,3,3
162,40420,ROCK,Rockford,Rockford IL,3,3,3
163,40900,SACR,Sacramento,Sacramento-Arden-Arcade-Roseville CA,1,2,2
164,41180,STLO,Saint Louis,St. Louis MO-IL,1,1,2
165,41420,SALE,Salem,Salem OR,3,3,3
166,41500,SALI,Salinas,Salinas CA,3,3,3
167,41620,SALT,Salt Lake City,Salt Lake City UT,2,2,2
168,41700,SANA,San Antonio,San Antonio-New Braunfels TX,2,2,2
169,41740,SAND,San Diego,San Diego-Carlsbad-San Marcos CA,1,2,1
171,41884,SANF,San Francisco,San Francisco-San Mateo-Redwood City CA,1,2,1
172,41940,SANJ,San Jose,San Jose-Sunnyvale-Santa Clara CA,1,2,2
173,42020,SANL,San Luis Obispo,San Luis Obispo-Paso Robles CA,3,3,3
170,41780,SALU,Sandusky,Sandusky OH,3,3,3
175,42060,SABA,Santa Barbara,Santa Barbara-Santa Maria-Goleta CA,3,3,3
176,42100,SATC,Santa Cruz,Santa Cruz-Watsonville CA,3,3,3
177,42220,SANT,Santa Rosa,Santa Rosa-Petaluma CA,3,3,3
131,35840,SARA,Sarasota,North Port-Bradenton-Sarasota FL,3,3,3
178,42340,SAVA,Savannah,Savannah GA,3,3,3
179,42540,SCRA,Scranton,Scranton-Wilkes-Barre PA,3,3,3
180,42660,SEAT,Seattle,Seattle-Tacoma-Bellevue WA,1,1,1
181,43100,SHEB,Sheboygan,Sheboygan WI,3,3,3
182,43340,SHRE,Shreveport,Shreveport-Bossier City LA,3,3,3
183,43780,SOUT,South Bend,South Bend-Mishawaka IN-MI,3,3,3
184,43900,SPAR,Spartanburg,Spartanburg SC,3,3,3
185,44060,SPOK,Spokane,Spokane WA,3,3,3
186,44140,SPMA,Springfield MA,Springfield MA,3,3,3
187,44180,SPMO,Springfield MO,Springfield MO,3,3,3
188,44220,SPOH,Springfield OH,Springfield OH,3,3,3
26,14860,STAM,Stamford,Bridgeport-Stamford-Norwalk CT,1,2,2
189,44700,STKN,Stockton,Stockton CA,3,3,3
190,45060,SYRA,Syracuse,Syracuse NY,3,3,3
191,45220,TALF,Tallahassee,Tallahassee FL,3,3,3
192,45300,TAMP,Tampa,Tampa-St. Petersburg-Clearwater FL,1,1,1
193,45780,TOLE,Toledo,Toledo OH,3,3,3
194,45940,TREN,Trenton,Trenton-Ewing NJ,3,3,3
195,46060,TUCS,Tucson,Tucson AZ,3,3,3
196,46140,TULS,Tulsa,Tulsa OK,3,3,3
197,46540,UTIC,Utica,Utica-Rome NY,3,3,3
198,46700,VALL,Vallejo-Fairfield,Vallejo-Fairfield CA,3,3,3
199,47220,VINE,Vineland,Vineland-Millville-Bridgeton NJ,3,3,3
201,47300,VISA,Visalia,Visalia-Porterville CA,3,3,3
202,47900,WASH,Washington - NoVA - MD,Washington-Arlington-Alexandria DC-VA-MD-WV,1,1,1
204,48620,WICH,Wichita,Wichita KS,3,3,3
205,48900,WILM,Wilmington,Wilmington NC,3,3,3
206,49180,WINS,Winston-Salem,Winston-Salem NC,3,3,3
207,49340,WORC,Worcester,Worcester MA,3,3,3
208,49420,YAKI,Yakima,Yakima WA,3,3,3
209,49620,YORK,York,York-Hanover PA,3,3,3
210,49660,YOUN,Youngstown,Youngstown-Warren-Boardman OH-PA,3,3,3
