"","AskingRate","QuarterOff","BldgClass","ST","Quarters","ListAge","Floor","AvgSqft","Latitude","Longitude"
"1790820",20,"2007Q2","2_ClassB","2_Between",1,22,1,1300,41.9654644,-70.6704978
"1791116",25,"2009Q4","2_ClassB","2_Between",2,24,2,564,41.9654644,-70.6704978
"1791117",20,"2008Q3","2_ClassB","2_Between",3,22,2,914,41.9654644,-70.6704978
"1791118",19,"2011Q2","2_ClassB","2_Between",3,25,2,1701,41.9654644,-70.6704978
"1791121",20,"2009Q2","2_ClassB","2_Between",3,23,2,643,41.9654644,-70.6704978
"1791122",19,"2011Q2","2_ClassB","2_Between",10,23,2,998,41.9654644,-70.6704978
"1791124",25,"2009Q4","2_ClassB","2_Between",5,23,1,1484,41.9654644,-70.6704978
"1791138",14,"2007Q2","2_ClassB","0_Unknown",5,18,1,500,41.921507,-70.655622
"1791139",15,"2011Q4","2_ClassB","1_Net",14,20,1,550,41.921507,-70.655622
"1791146",20,"2007Q4","2_ClassB","2_Between",3,22,1,1701,41.9654644,-70.6704978
"1791491",24,"2007Q2","2_ClassB","2_Between",8,20,1,2737,41.9654644,-70.6704978
"1792241",25,"2011Q2","2_ClassB","2_Between",4,25,1,1256,41.9654644,-70.6704978
"1792292",24,"2007Q4","2_ClassB","2_Between",10,20,2,643,41.9654644,-70.6704978
"1792293",25,"2009Q2","2_ClassB","2_Between",1,24,2,564,41.9654644,-70.6704978
"1792301",14,"2007Q2","2_ClassB","0_Unknown",5,18,1,2000,41.921507,-70.655622
"1792351",25,"2008Q3","2_ClassB","2_Between",5,22,1,1567,41.9654644,-70.6704978
"1793671",15,"2011Q4","2_ClassB","1_Net",5,22,1,1500,41.921507,-70.655622
"1793685",17.5,"2006Q4","3_ClassC","1_Net",8,0,2,3900,42.0887841,-71.0654613
"1793686",17.5,"2006Q2","3_ClassC","1_Net",2,1,2,7000,42.0887841,-71.0654613
"1793911",17.5,"2006Q4","3_ClassC","1_Net",8,0,2,2700,42.0887841,-71.0654613
"1793982",17.5,"2006Q2","3_ClassC","1_Net",2,1,2,5100,42.0887841,-71.0654613
"1793990",12,"2010Q4","2_ClassB","3_FullService",6,5,1,800,41.8917187,-70.9067397
"1794671",17,"2008Q3","3_ClassC","1_Net",3,67,1,1003,42.087751,-71.032721
"1795754",13,"2009Q3","3_ClassC","1_Net",5,19,2,1690,41.9229201,-70.6562489
"1795756",13,"2009Q3","3_ClassC","1_Net",5,19,1,1000,41.9229201,-70.6562489
"1795785",15.5,"2010Q2","3_ClassC","3_FullService",3,20,2,1436,41.9229201,-70.6562489
"1795790",25,"2008Q4","2_ClassB","2_Between",6,3,2,658,42.089956,-71.424174
"1797800",21,"2008Q2","2_ClassB","2_Between",4,3,1,2785,42.089956,-71.424174
"1797801",21,"2008Q2","2_ClassB","2_Between",4,3,1,3055,42.089956,-71.424174
"1798226",18,"2005Q4","2_ClassB","3_FullService",9,0,2,1550,42.101847,-70.9577254
"1799018",17,"2009Q1","2_ClassB","3_FullService",2,19,1,550,42.103621,-70.800273
"1799581",15,"2006Q3","2_ClassB","2_Between",3,16,2,1400,42.103621,-70.800273
"1799872",15,"2008Q4","2_ClassB","2_Between",1,19,1,1400,42.103621,-70.800273
"1800026",16.5,"2006Q2","3_ClassC","3_FullService",1,30,3,750,42.107539,-70.759612
"1800145",14,"2011Q2","2_ClassB","2_Between",1,8,1,2525,41.949203,-70.71161
"1800666",19,"2010Q3","3_ClassC","3_FullService",8,32,2,750,42.107539,-70.759612
"1800667",19,"2011Q2","3_ClassC","3_FullService",11,32,2,875,42.107539,-70.759612
"1800668",17,"2005Q3","3_ClassC","3_FullService",4,28,3,1035,42.107539,-70.759612
"1800669",19,"2010Q2","3_ClassC","3_FullService",7,32,3,1825,42.107539,-70.759612
"1800670",17,"2007Q1","3_ClassC","3_FullService",8,29,1,690,42.107539,-70.759612
"1800952",19,"2010Q4","2_ClassB","3_FullService",6,0,2,1971,42.107167,-70.75391
"1801053",16.5,"2006Q2","3_ClassC","3_FullService",4,29,2,630,42.107539,-70.759612
"1801234",10.28,"2010Q4","3_ClassC","2_Between",1,90,1,700,42.12243,-71.179286
"1801302",17,"2006Q3","3_ClassC","2_Between",1,30,2,1552.5,42.107539,-70.759612
"1801303",19,"2011Q1","3_ClassC","3_FullService",10,32,3,750,42.107539,-70.759612
"1801342",19,"2010Q2","3_ClassC","3_FullService",7,32,1,1035,42.107539,-70.759612
"1802066",18,"2010Q3","2_ClassB","1_Net",5,19,1,1300,41.9527031,-70.7087036
"1802072",18,"2011Q1","2_ClassB","3_FullService",2,96,3,1000,41.9554527,-70.6633358
"1802251",22,"2010Q3","2_ClassB","2_Between",4,95,1,600,41.9554527,-70.6633358
"1802258",18,"2011Q2","2_ClassB","3_FullService",1,97,1,800,41.9554527,-70.6633358
"1802374",13.5,"2005Q3","2_ClassB","0_Unknown",2,5,2,800,42.1310857,-71.1032494
"1802466",15,"2010Q3","2_ClassB","1_Net",6,19,1,2091,41.9527031,-70.7087036
"1802754",27,"2009Q4","2_ClassB","3_FullService",1,74,1,1763,41.9981489,-70.7316536
"1802786",15.28,"2010Q3","3_ClassC","3_FullService",4,35,2,550,41.956501,-70.678409
"1803215",27,"2009Q4","2_ClassB","3_FullService",1,74,1,1764,41.9981489,-70.7316536
"1803219",15,"2010Q2","2_ClassB","3_FullService",7,10,1,3500,41.9487887,-70.7079976
"1803221",17,"2008Q3","2_ClassB","2_Between",4,3,1,1440,41.9509587,-70.7088102
"1803235",15,"2007Q1","3_ClassC","1_Net",4,56,1,4200,41.968936,-70.684875
"1803434",15,"2011Q1","2_ClassB","3_FullService",11,10,1,2387.5,41.9487887,-70.7079976
"1805298",12,"2010Q4","2_ClassB","3_FullService",1,27,1,1900,41.957852,-70.703497
"1805320",20,"2006Q3","2_ClassB","0_Unknown",2,20,1,1000,42.1410403,-70.8412207
"1805507",15,"2011Q1","2_ClassB","3_FullService",2,30,1,1900,41.9626353,-70.6969978
"1805521",17.5,"2005Q3","3_ClassC","2_Between",1,9,1,4000,42.1389024,-71.219101
"1805523",17,"2010Q3","3_ClassC","2_Between",10,12,1,800,42.1389024,-71.219101
"1805524",17.5,"2005Q2","3_ClassC","2_Between",6,7,2,2000,42.1389024,-71.219101
"1805526",17.5,"2006Q1","3_ClassC","2_Between",2,9,2,550,42.1389024,-71.219101
"1805527",17.5,"2007Q3","3_ClassC","2_Between",9,9,2,3000,42.1389024,-71.219101
"1805902",20,"2009Q4","2_ClassB","2_Between",3,5,2,1000,42.1559416,-70.8820388
"1806010",12,"2011Q1","2_ClassB","3_FullService",2,27,1,1900,41.957852,-70.703497
"1806023",12,"2010Q2","3_ClassC","2_Between",3,69,1,550,42.136562,-70.9013972
"1807009",18,"2008Q4","2_ClassB","2_Between",13,22,2,5500,42.156823,-70.87908
"1807336",18,"2009Q4","2_ClassB","2_Between",1,26,1,9642,42.156823,-70.87908
"1808275",20,"2011Q2","2_ClassB","2_Between",1,1,1,1800,42.1858573,-71.2026853
"1808592",18,"2010Q3","2_ClassB","2_Between",12,7,1,700,42.182176,-71.013676
"1808957",20,"2010Q4","2_ClassB","2_Between",1,0,2,1800,42.1858573,-71.2026853
"1809151",12,"2007Q2","2_ClassB","2_Between",2,10,1,500,42.085267,-71.0175191
"1809162",15.95,"2010Q3","3_ClassC","1_Net",1,101,1,1226,42.1910524,-71.2030801
"1809163",18,"2006Q2","2_ClassB","2_Between",3,60,1,600,42.1917026,-71.2028351
"1809221",12,"2007Q2","3_ClassC","1_Net",4,22,1,1800,42.0856396,-70.992865
"1809492",20,"2011Q2","2_ClassB","2_Between",3,0,2,1550,42.1858573,-71.2026853
"1809493",20,"2010Q4","2_ClassB","2_Between",1,0,2,1750,42.1858573,-71.2026853
"1809496",12,"2011Q2","3_ClassC","3_FullService",3,70,1,1000,42.0830202,-71.3970831
"1809604",21,"2009Q3","2_ClassB","2_Between",8,21,3,1181,42.1927985,-71.2899841
"1809606",12,"2009Q1","3_ClassC","2_Between",2,8,1,2118,42.192932,-70.93195
"1809718",16.8,"2010Q2","3_ClassC","1_Net",1,70,1,500,42.0830202,-71.3970831
"1810073",15,"2010Q2","3_ClassC","3_FullService",10,8,1,1000,42.084065,-71.4054961
"1810079",21.45,"2007Q4","2_ClassB","0_Unknown",2,21,3,1050,42.1927985,-71.2899841
"1810080",20.77,"2010Q4","2_ClassB","2_Between",10,22,1,667,42.1927985,-71.2899841
"1810081",16,"2005Q3","2_ClassB","1_Net",4,18,2,400,42.1927985,-71.2899841
"1810082",16.5,"2005Q4","2_ClassB","1_Net",5,18,2,800,42.1927985,-71.2899841
"1810084",16,"2008Q1","3_ClassC","3_FullService",9,5,1,3049,42.192932,-70.93195
"1810092",19.5,"2006Q4","2_ClassB","2_Between",5,3,1,3400,42.0841637,-71.2815416
"1810098",14.94,"2010Q3","3_ClassC","1_Net",6,44,1,1040,42.0866324,-71.4748119
"1810101",15,"2010Q3","2_ClassB","1_Net",1,7,1,1000,42.087886,-71.055269
"1810247",15,"2010Q4","2_ClassB","3_FullService",5,23,3,400,42.1927985,-71.2899841
"1810248",21,"2007Q4","2_ClassB","2_Between",1,21,3,412,42.1927985,-71.2899841
"1810251",20.59,"2010Q4","2_ClassB","3_FullService",10,22,1,460,42.1927985,-71.2899841
"1810255",12,"2008Q3","3_ClassC","2_Between",4,7,2,6218,42.192932,-70.93195
"1810261",13.5,"2005Q4","2_ClassB","3_FullService",3,39,2,2900,42.0838859,-71.0196368
"1810262",13.5,"2007Q1","2_ClassB","3_FullService",8,39,2,1700,42.0838859,-71.0196368
"1810268",10.5,"2006Q1","3_ClassC","2_Between",12,43,2,1000,42.084972,-71.277163
"1810289",18.4,"2006Q3","3_ClassC","3_FullService",6,18,1,1500,42.0880534,-70.9883268
"1810387",12.68,"2008Q4","3_ClassC","2_Between",2,88,1,1420,42.087762,-71.05495
"1810467",21.45,"2009Q3","2_ClassB","0_Unknown",9,21,3,662,42.1927985,-71.2899841
"1810469",15,"2010Q4","2_ClassB","3_FullService",5,23,1,750,42.1927985,-71.2899841
"1810470",16.5,"2006Q3","2_ClassB","1_Net",4,19,1,668,42.1927985,-71.2899841
"1810471",15,"2010Q4","2_ClassB","3_FullService",5,23,2,450,42.1927985,-71.2899841
"1810487",15,"2010Q2","2_ClassB","1_Net",3,6,1,2000,42.087886,-71.055269
"1810488",15,"2009Q4","2_ClassB","1_Net",2,6,1,2000,42.087886,-71.055269
"1810495",23.86,"2011Q2","3_ClassC","1_Net",4,54,1,1760,42.088309,-71.416986
"1811226",15,"2006Q3","3_ClassC","3_FullService",1,106,1,400,42.19327,-71.201635
"1811441",18.25,"2007Q1","3_ClassC","3_FullService",3,106,1,650,42.19327,-71.201635
"1811448",20.75,"2009Q3","1_ClassA","2_Between",9,19,1,2550,42.194571,-70.945294
"1811451",14.5,"2011Q2","3_ClassC","2_Between",4,23,1,6000,41.9060653,-70.9591877
"1811516",13.88,"2009Q4","3_ClassC","3_FullService",1,32,2,605,42.194227,-70.724827
"1811519",17,"2009Q1","3_ClassC","1_Net",11,19,1,4050,41.9060653,-70.9591877
"1811520",16,"2008Q3","3_ClassC","1_Net",9,19,1,3000,41.9060653,-70.9591877
"1811529",18.5,"2010Q3","2_ClassB","1_Net",8,3,2,1200,42.0083827,-71.337415
"1812155",15,"2006Q3","3_ClassC","3_FullService",1,106,1,400,42.19327,-71.201635
"1812160",10,"2008Q3","1_ClassA","1_Net",14,17,1,10000,42.194571,-70.945294
"1812161",16,"2008Q3","3_ClassC","1_Net",9,19,1,3250,41.9060653,-70.9591877
"1812162",8,"2006Q4","3_ClassC","1_Net",2,19,1,6003,41.9060653,-70.9591877
"1812170",20.18,"2010Q3","2_ClassB","1_Net",8,3,1,1100,42.0083827,-71.337415
"1812331",20.75,"2006Q2","1_ClassA","2_Between",12,15,2,5250,42.194571,-70.945294
"1812335",16,"2008Q4","3_ClassC","1_Net",10,19,1,3700,41.9060653,-70.9591877
"1812434",16,"2006Q3","2_ClassB","0_Unknown",3,105,2,425,42.1978582,-71.4263757
"1812452",17,"2006Q2","2_ClassB","2_Between",1,6,1,6000,42.1047144,-70.7986607
"1812556",21,"2005Q4","3_ClassC","2_Between",4,34,2,500,42.089681,-71.043075
"1812986",17,"2008Q2","2_ClassB","1_Net",3,5,2,1860,42.091089,-71.423056
"1812990",20,"2006Q1","2_ClassB","2_Between",1,19,2,2000,42.0916508,-71.4263202
"1813055",17,"2007Q2","3_ClassC","2_Between",7,39,1,750,42.103864,-70.799249
"1813204",20,"2008Q1","2_ClassB","2_Between",1,21,1,1800,42.0916508,-71.4263202
"1813205",19,"2009Q2","2_ClassB","2_Between",2,22,2,1500,42.0916508,-71.4263202
"1813299",19,"2005Q2","2_ClassB","2_Between",14,15,1,2300,42.0916508,-71.4263202
"1813301",19,"2008Q4","2_ClassB","2_Between",5,21,3,2000,42.0916508,-71.4263202
"1813303",19,"2009Q1","2_ClassB","2_Between",1,22,3,2600,42.0916508,-71.4263202
"1813304",18,"2011Q2","2_ClassB","2_Between",10,22,3,5800,42.0916508,-71.4263202
"1813305",19,"2008Q1","2_ClassB","2_Between",4,21,1,1800,42.0916508,-71.4263202
"1813467",16,"2006Q3","2_ClassB","0_Unknown",3,105,2,425,42.1978582,-71.4263757
"1813478",15,"2010Q4","3_ClassC","1_Net",3,54,1,854,42.0925008,-70.7114846
"1814203",8,"2010Q4","3_ClassC","1_Net",1,44,1,1056,42.103864,-70.799249
"1814204",17,"2007Q2","3_ClassC","2_Between",7,39,2,750,42.103864,-70.799249
"1814205",17,"2007Q2","3_ClassC","2_Between",7,39,3,750,42.103864,-70.799249
"1814239",12,"2011Q1","3_ClassC","2_Between",1,27,2,975,42.199241,-71.025177
"1814388",16,"2011Q1","3_ClassC","2_Between",2,27,1,975,42.199241,-71.025177
"1814491",16,"2010Q4","3_ClassC","2_Between",13,24,1,750,42.199241,-71.025177
"1814500",17,"2006Q2","2_ClassB","3_FullService",1,15,2,1000,42.2109013,-71.0192012
"1814504",15,"2007Q2","2_ClassB","2_Between",5,22,2,1500,42.2111332,-71.185238
"1814506",17,"2010Q3","2_ClassB","2_Between",3,25,1,10325,42.2111332,-71.185238
"1814507",16.5,"2011Q3","2_ClassB","2_Between",10,25,2,1145,42.2111332,-71.185238
"1814511",19.75,"2006Q2","1_ClassA","2_Between",14,22,3,5360,42.2121687,-71.1503078
"1814512",22.5,"2007Q3","1_ClassA","2_Between",3,26,3,4836,42.2121687,-71.1503078
"1814513",20,"2010Q4","1_ClassA","2_Between",0,30,3,4836,42.2121687,-71.1503078
"1814514",24,"2008Q1","1_ClassA","2_Between",3,27,1,6601,42.2121687,-71.1503078
"1814519",16.95,"2011Q3","2_ClassB","2_Between",10,25,2,1650,42.2163837,-71.5434461
"1814580",14,"2011Q1","2_ClassB","1_Net",8,24,1,1125,42.1040293,-71.0680081
"1814724",15,"2006Q3","2_ClassB","2_Between",5,21,2,1420,42.2111332,-71.185238
"1814729",16.95,"2011Q4","2_ClassB","2_Between",11,25,2,1030,42.2163837,-71.5434461
"1814836",19,"2011Q4","2_ClassB","2_Between",3,1,3,5000,42.2075489,-71.1223917
"1814842",17,"2008Q2","2_ClassB","2_Between",0,24,2,1420,42.2111332,-71.185238
"1814845",19.75,"2005Q4","1_ClassA","2_Between",12,22,2,8442,42.2121687,-71.1503078
"1814848",22.5,"2007Q3","1_ClassA","2_Between",1,27,1,4243,42.2121687,-71.1503078
"1814929",20,"2009Q4","2_ClassB","2_Between",0,25,2,2227,42.2163837,-71.5434461
"1814930",18.25,"2009Q1","2_ClassB","2_Between",2,24,1,1156,42.2163837,-71.5434461
"1815313",20,"2009Q1","3_ClassC","2_Between",4,4,2,1050,42.1037328,-70.7356897
"1815378",12.38,"2008Q3","3_ClassC","0_Unknown",1,18,1,2909,42.117168,-70.9487199
"1815392",15,"2010Q1","3_ClassC","3_FullService",5,46,1,800,42.2051406,-71.0050575
"1815400",19,"2011Q4","2_ClassB","2_Between",3,1,1,1750,42.2075489,-71.1223917
"1815412",19.75,"2005Q2","1_ClassA","2_Between",4,24,1,6150.5,42.2121687,-71.1503078
"1815413",21,"2007Q2","1_ClassA","2_Between",8,25,1,24651,42.2121687,-71.1503078
"1815414",22.5,"2007Q2","1_ClassA","2_Between",2,26,1,1667,42.2121687,-71.1503078
"1815435",20,"2009Q1","3_ClassC","2_Between",4,4,2,1050,42.1037328,-70.7356897
"1815456",12.5,"2010Q3","2_ClassB","1_Net",4,30,2,916,42.1116902,-71.072061
"1815519",10,"2005Q3","3_ClassC","1_Net",1,35,1,5100,42.1154423,-70.8656381
"1815577",15,"2005Q4","2_ClassB","3_FullService",9,3,1,1600,42.1068964,-70.945491
"1815886",10.58,"2011Q4","3_ClassC","2_Between",0,29,1,1700,42.105672,-70.748603
"1815887",12,"2009Q3","3_ClassC","3_FullService",1,27,2,450,42.105672,-70.748603
"1815927",12,"2008Q2","2_ClassB","2_Between",1,9,1,2000,42.1237589,-71.1013386
"1815938",12,"2009Q3","2_ClassB","2_Between",6,9,3,400,42.1237589,-71.1013386
"1816047",20,"2010Q2","3_ClassC","3_FullService",4,25,1,2845,42.1072728,-70.7587831
"1816140",15.27,"2009Q3","3_ClassC","3_FullService",1,24,1,2554,42.1181,-71.235599
"1816141",16.18,"2009Q2","3_ClassC","3_FullService",0,24,1,1520,42.1181,-71.235599
"1816142",14.04,"2011Q1","3_ClassC","3_FullService",8,24,1,4700,42.1181,-71.235599
"1816174",16,"2008Q1","3_ClassC","3_FullService",1,42,1,2200,42.106153,-71.2494083
"1816179",14.29,"2011Q1","3_ClassC","3_FullService",7,24,1,2100,42.1181,-71.235599
"1816264",15,"2005Q4","2_ClassB","2_Between",7,15,2,1647,42.116564,-71.236331
"1816355",18,"2008Q1","2_ClassB","0_Unknown",2,18,2,2479,42.116564,-71.236331
"1816356",16,"2010Q2","2_ClassB","2_Between",7,19,1,1616,42.116564,-71.236331
"1816363",12,"2009Q2","3_ClassC","1_Net",9,72,1,1550,42.123619,-71.101076
"1816371",15,"2006Q2","2_ClassB","3_FullService",3,38,2,409,42.2197269,-71.0347206
"1816376",18,"2011Q3","2_ClassB","2_Between",6,25,3,500,42.115486,-70.83009
"1816381",15,"2010Q1","3_ClassC","2_Between",2,37,1,784,42.122819,-71.177783
"1816493",15,"2006Q4","2_ClassB","3_FullService",3,39,2,1286,42.2197269,-71.0347206
"1816495",12,"2010Q4","3_ClassC","2_Between",1,70,1,1000,42.222371,-70.969204
"1816497",18,"2011Q3","2_ClassB","2_Between",8,24,3,500,42.115486,-70.83009
"1816498",18,"2011Q3","2_ClassB","2_Between",8,24,3,430,42.115486,-70.83009
"1816571",15,"2005Q3","2_ClassB","3_FullService",3,37,1,3308,42.2197269,-71.0347206
"1816573",19.75,"2009Q3","2_ClassB","2_Between",2,42,1,9564,42.2197269,-71.0347206
"1816574",15,"2005Q3","2_ClassB","3_FullService",2,38,2,1479,42.2197269,-71.0347206
"1816677",12,"2008Q3","2_ClassB","0_Unknown",1,9,1,761,42.1237589,-71.1013386
"1816928",22,"2005Q2","1_ClassA","2_Between",2,22,3,2701,42.2253435,-71.0272446
"1816929",17,"2009Q2","1_ClassA","2_Between",9,25,3,1647,42.2253435,-71.0272446
"1816931",23,"2008Q1","1_ClassA","2_Between",6,24,2,20369,42.2253435,-71.0272446
"1816935",17,"2009Q3","2_ClassB","2_Between",8,20,2,1800,42.162605,-70.955662
"1817013",15,"2005Q2","2_ClassB","3_FullService",7,36,2,1145,42.2197269,-71.0347206
"1817014",20.75,"2008Q2","2_ClassB","2_Between",1,41,2,578,42.2197269,-71.0347206
"1817753",22,"2007Q1","1_ClassA","2_Between",7,23,4,1890,42.2253435,-71.0272446
"1817754",22,"2005Q2","1_ClassA","2_Between",8,21,3,6472,42.2253435,-71.0272446
"1817758",17,"2005Q3","2_ClassB","2_Between",1,18,3,1300,42.162605,-70.955662
"1817759",14.5,"2011Q4","3_ClassC","1_Net",1,46,1,3000,42.1627739,-71.1603696
"1817763",14,"2008Q4","3_ClassC","1_Net",1,24,1,750,42.1640379,-71.1549338
"1817768",23,"2008Q3","1_ClassA","2_Between",8,24,4,6510,42.2253435,-71.0272446
"1817770",22,"2005Q4","1_ClassA","2_Between",2,23,3,1186,42.2253435,-71.0272446
"1817785",14,"2011Q3","2_ClassB","1_Net",2,2,2,1084,42.165868,-71.362297
"1817795",14.95,"2011Q2","3_ClassC","3_FullService",3,90,1,1316,42.173201,-71.411932
"1817821",22,"2005Q2","1_ClassA","3_FullService",0,23,3,3465,42.2253435,-71.0272446
"1817856",21,"2011Q3","1_ClassA","2_Between",8,20,2,4519,42.1766939,-71.1907644
"1817879",15,"2008Q1","3_ClassC","2_Between",2,23,1,1500,42.170716,-71.046836
"1818132",15,"2010Q2","3_ClassC","2_Between",8,24,2,3095,42.170716,-71.046836
"1818897",27,"2010Q4","3_ClassC","3_FullService",3,1,1,1900,42.1502633,-71.1492307
"1819465",15.76,"2009Q3","2_ClassB","2_Between",5,24,1,990,42.154006,-71.075285
"1819559",19.75,"2006Q1","1_ClassA","2_Between",1,16,2,1324,42.1766939,-71.1907644
"1819560",22,"2010Q4","1_ClassA","2_Between",2,21,1,4023,42.1766939,-71.1907644
"1819561",22,"2010Q4","1_ClassA","2_Between",7,20,1,2696,42.1766939,-71.1907644
"1819562",19.75,"2005Q4","1_ClassA","2_Between",6,15,1,1960,42.1766939,-71.1907644
"1819563",22,"2009Q3","1_ClassA","2_Between",3,19,3,5564,42.1766939,-71.1907644
"1819775",15.25,"2006Q1","2_ClassB","2_Between",3,21,2,2000,42.1533585,-71.0749877
"1819786",22.75,"2006Q1","2_ClassB","2_Between",11,16,1,2745,42.1553748,-70.8793848
"1819787",22.75,"2006Q2","2_ClassB","2_Between",12,16,1,4845,42.1553748,-70.8793848
"1819802",22,"2008Q2","1_ClassA","2_Between",6,17,1,1915,42.1766939,-71.1907644
"1819803",19.75,"2006Q2","1_ClassA","2_Between",8,15,1,2282.5,42.1766939,-71.1907644
"1819818",19.95,"2005Q2","2_ClassB","2_Between",8,16,3,9033,42.1553748,-70.8793848
"1819819",22.75,"2006Q1","2_ClassB","2_Between",11,16,2,9125,42.1553748,-70.8793848
"1819825",21,"2011Q1","1_ClassA","2_Between",1,21,1,4640,42.1766939,-71.1907644
"1819826",19.75,"2006Q2","1_ClassA","2_Between",8,15,1,2097.5,42.1766939,-71.1907644
"1819828",21,"2011Q4","1_ClassA","2_Between",7,21,3,7228,42.1766939,-71.1907644
"1820062",22,"2009Q4","1_ClassA","2_Between",9,18,2,3304,42.1766939,-71.1907644
"1820065",22,"2008Q3","1_ClassA","2_Between",4,18,1,2878,42.1766939,-71.1907644
"1821013",19.09,"2011Q4","2_ClassB","3_FullService",2,26,1,2200,42.161042,-71.197692
"1821560",12,"2007Q3","3_ClassC","1_Net",1,1,1,400,42.133951,-70.841201
"1821770",12,"2007Q3","3_ClassC","1_Net",1,1,1,400,42.133951,-70.841201
"1821913",20,"2007Q2","3_ClassC","2_Between",1,37,2,750,42.1354018,-70.841701
"1821918",14,"2005Q3","3_ClassC","3_FullService",10,33,2,1150,42.140937,-71.076289
"1821925",11,"2009Q3","3_ClassC","2_Between",1,19,1,1218,42.1476672,-71.0708687
"1822190",18,"2009Q3","3_ClassC","3_FullService",2,37,1,1200,42.1441245,-70.8441278
"1822805",12,"2006Q4","2_ClassB","2_Between",2,17,2,1800,42.1531237,-71.1046197
"1822808",15,"2006Q2","2_ClassB","0_Unknown",1,3,1,2000,42.14203,-70.841286
